subject,hue,term
1,60,Yellow
1,180,Reject
1,216,Blue
1,258,Blue
1,48,Yellow
1,12,Orange
2,252,Blue
2,324,Pink
2,126,Green
2,300,Pink
2,288,Reject
2,318,Pink
3,48,Yellow
3,144,Green
3,354,Red
3,222,Blue
3,102,Green
3,198,Blue
4,342,Red
4,150,Green
4,258,Blue
4,240,Blue
4,96,Green
4,312,Pink
5,90,Green
5,78,Green
5,60,Yellow
5,252,Blue
5,60,Yellow
5,156,Green
6,138,Green
6,306,Pink
6,312,Pink
6,276,Reject
6,150,Green
6,24,Orange
7,12,Red
7,234,Blue
7,132,Green
7,42,Yellow
7,300,Pink
7,270,Reject
8,294,Pink
8,324,Pink
8,102,Green
8,108,Green
8,192,Blue
8,222,Blue
9,72,Green
9,108,Reject
9,252,Blue
9,30,Orange
9,96,Green
9,180,Reject
10,120,Green
10,12,Orange
10,6,Red
10,6,Orange
10,336,Pink
10,246,Blue
11,312,Pink
11,198,Blue
11,222,Blue
11,330,Pink
11,300,Pink
11,192,Blue
12,282,Reject
12,144,Green
12,54,Yellow
12,60,Yellow
12,66,Green
12,138,Green
13,54,Reject
13,186,Blue
13,348,Red
13,114,Green
13,108,Green
13,276,Reject
14,168,Green
14,186,Reject
14,138,Green
14,180,Blue
14,174,Blue
14,24,Orange
15,228,Blue
15,126,Green
15,36,Orange
15,120,Green
15,210,Blue
15,72,Green
16,210,Blue
16,156,Green
16,204,Blue
16,30,Orange
16,270,Reject
16,204,Blue
17,306,Reject
17,198,Blue
17,84,Green
17,210,Blue
17,66,Yellow
17,294,Pink
18,114,Green
18,102,Green
18,324,Pink
18,192,Blue
18,72,Reject
18,42,Yellow
19,126,Green
19,252,Blue
19,18,Red
19,0,Red
19,30,Orange
19,36,Yellow
20,348,Pink
20,258,Blue
20,84,Green
20,120,Green
20,78,Green
20,348,Red
21,294,Pink
21,234,Blue
21,66,Yellow
21,114,Green
21,288,Reject
21,150,Green
22,132,Green
22,18,Red
22,18,Orange
22,354,Red
22,180,Blue
22,330,Pink
23,54,Yellow
23,156,Green
23,108,Green
23,306,Pink
23,234,Blue
23,330,Pink
24,234,Blue
24,264,Reject
24,90,Green
24,66,Green
24,174,Green
24,258,Blue
25,174,Blue
25,144,Green
25,42,Yellow
25,36,Orange
25,96,Green
25,24,Orange
26,84,Green
26,90,Green
26,216,Blue
26,270,Reject
26,288,Reject
26,186,Blue
27,162,Reject
27,36,Orange
27,48,Yellow
27,294,Pink
27,240,Blue
27,114,Green
28,264,Blue
28,132,Green
28,246,Blue
28,174,Reject
28,162,Green
28,30,Orange
29,318,Pink
29,342,Red
29,246,Blue
29,204,Blue
29,216,Blue
29,282,Reject
30,156,Reject
30,240,Blue
30,42,Yellow
30,0,Red
30,162,Green
30,90,Green
31,324,Pink
31,162,Green
31,282,Pink
31,318,Pink
31,300,Pink
31,276,Pink
32,264,Reject
32,78,Green
32,228,Blue
32,78,Green
32,132,Green
32,192,Blue
33,186,Blue
33,342,Pink
33,126,Green
33,222,Blue
33,270,Reject
33,282,Reject
34,12,Red
34,48,Yellow
34,336,Pink
34,348,Red
34,150,Green
34,168,Blue
35,354,Red
35,0,Red
35,216,Blue
35,318,Pink
35,312,Pink
35,72,Yellow
36,246,Blue
36,342,Pink
36,168,Green
36,120,Green
36,198,Blue
36,84,Green
37,6,Red
37,276,Reject
37,330,Pink
37,336,Pink
37,144,Green
37,210,Blue
38,264,Blue
38,18,Orange
38,354,Red
38,96,Green
38,54,Yellow
38,288,Pink
39,138,Green
39,24,Orange
39,306,Pink
39,0,Red
39,204,Blue
39,228,Blue
40,6,Red
40,240,Blue
40,168,Blue
40,102,Green
40,228,Blue
40,336,Pink
